date,code,open,close,high,low,volume,amount,turn
2010-01-04,sh.601991,9.0500,8.9600,9.1300,8.9500,6532990,58852215.0000,0.077182
2010-01-05,sh.601991,8.9700,9.1800,9.1900,8.8800,9419032,85210427.0000,0.111279
2010-01-06,sh.601991,9.1900,9.1500,9.2200,9.0700,8375869,76745295.0000,0.098955
2010-01-07,sh.601991,9.1700,8.9400,9.1700,8.9200,6644223,59855856.0000,0.078496
2010-01-08,sh.601991,8.8500,8.8900,8.9400,8.7000,5355630,47339713.0000,0.063273
2010-01-11,sh.601991,8.9300,8.9400,9.0900,8.9000,5497469,49425685.0000,0.064948
2010-01-12,sh.601991,8.9500,9.1100,9.1500,8.9500,7401720,67175675.0000,0.087446
2010-01-13,sh.601991,8.9200,8.8800,9.0400,8.8700,6810450,60879782.0000,0.080460
2010-01-14,sh.601991,8.8800,8.9900,9.0000,8.8000,6034005,53823303.0000,0.071287
2010-01-15,sh.601991,8.9900,8.9500,9.0200,8.8700,6560718,58650728.0000,0.077510
2010-01-18,sh.601991,8.9900,9.0300,9.0800,8.9500,9324736,83996826.0000,0.110165
2010-01-19,sh.601991,9.0500,8.9600,9.0800,8.9400,9533399,85766122.0000,0.112630
2010-01-20,sh.601991,8.9600,8.7700,9.0100,8.7500,8162709,72576955.0000,0.096436
2010-01-21,sh.601991,8.8000,8.8100,8.8700,8.6800,6393147,55978563.0000,0.075530
2010-01-22,sh.601991,8.7800,8.6100,8.8200,8.5100,6936108,60017503.0000,0.081945
2010-01-25,sh.601991,8.6200,8.8300,8.9400,8.6000,7353390,65022953.0000,0.086875
2010-01-26,sh.601991,8.7100,8.5200,8.8600,8.4700,4939027,42750303.0000,0.058351
2010-01-27,sh.601991,8.4900,8.4000,8.5900,8.4000,3367881,28487999.0000,0.039789
2010-01-28,sh.601991,8.4200,8.5000,8.5500,8.3000,3322266,28071724.0000,0.039250
2010-01-29,sh.601991,8.4800,8.4500,8.6700,8.4000,3445561,29525482.0000,0.040707
2010-02-01,sh.601991,8.4900,8.2900,8.5000,8.2500,3301373,27509955.0000,0.039003
2010-02-02,sh.601991,8.3500,8.2600,8.4000,8.2500,2272594,18913537.0000,0.026849
