date,code,open,close,high,low,volume,amount,turn
2010-01-04,sz.300015,48.9700,48.7700,49.1900,48.5500,740314,36138617.8000,2.762366
2010-01-05,sz.300015,48.9500,51.0000,51.4800,48.2900,1850184,92461796.6400,6.903672
2010-01-06,sz.300015,50.8900,49.7400,50.8900,49.6800,971079,48709591.5300,3.623429
2010-01-07,sz.300015,49.9500,48.5800,49.9500,48.4100,928957,45556820.4200,3.466257
2010-01-08,sz.300015,48.2300,47.2300,48.3900,46.7100,1136816,53706945.9100,4.241851
2010-01-11,sz.300015,46.9900,47.4000,48.1900,46.5000,921556,43671673.6100,3.438642
2010-01-12,sz.300015,47.4000,48.4400,48.5400,47.1000,797391,38373690.8000,2.975340
2010-01-13,sz.300015,47.8900,49.3500,50.1000,47.0600,1397010,68894280.0800,5.212724
2010-01-14,sz.300015,49.9900,51.5200,52.5000,49.4100,1950890,100448782.5400,7.279440
2010-01-15,sz.300015,51.5500,51.0600,52.1500,50.5800,919192,46966088.5100,3.429821
2010-01-18,sz.300015,51.3000,51.2000,51.7100,50.6900,520082,26632259.2100,1.940604
2010-01-19,sz.300015,51.0100,50.0800,51.2400,49.6000,874495,43734884.2200,3.263041
2010-01-20,sz.300015,50.0000,47.1000,50.3000,46.9100,1123272,54157820.0200,4.191313
2010-01-21,sz.300015,47.2000,47.6300,48.2800,47.2000,529544,25269104.3900,1.975910
2010-01-22,sz.300015,47.2900,44.8000,47.2900,44.1100,1528341,69359276.1800,5.702765
2010-01-25,sz.300015,44.4900,43.5100,44.6000,43.0100,796699,34897441.1600,2.972757
2010-01-26,sz.300015,44.1000,43.6000,44.8000,43.3000,570776,25064535.8700,2.129761
2010-01-27,sz.300015,43.7000,43.7000,44.5000,43.6000,512792,22637284.6600,1.913403
2010-01-28,sz.300015,43.7800,44.0000,44.6000,42.2500,1092296,47062271.7100,4.075731
2010-01-29,sz.300015,43.7200,44.1100,44.9900,43.1800,991806,44044773.7600,3.700769
2010-02-01,sz.300015,41.0000,40.8000,43.8500,39.8900,4700235,193757236.5200,14.030552
2010-02-02,sz.300015,41.0000,40.8200,41.3900,40.5100,1210340,49710620.9000,3.612955
2010-02-03,sz.300015,40.8800,40.3500,41.3000,39.0100,1297607,51885314.6900,3.873454
2010-02-04,sz.300015,40.6000,41.1000,41.4600,40.6000,995702,40997754.6300,2.972245
2010-02-05,sz.300015,40.0500,41.0000,41.6700,40.0200,808132,33125902.9500,2.412334
2010-02-08,sz.300015,40.8500,42.7000,43.1400,40.8500,1623240,69054378.3300,4.845493
2010-02-09,sz.300015,42.5000,42.8500,43.2400,42.3100,472136,20151508.5300,1.409361
2010-02-10,sz.300015,43.2800,44.6000,44.8400,43.0100,1126056,49655866.1000,3.361361
2010-02-11,sz.300015,44.5900,44.6200,45.4500,44.0600,839876,37711042.8800,2.507093
2010-02-12,sz.300015,44.7200,45.7600,45.8800,44.6000,688817,31254815.1100,2.056170
2010-02-22,sz.300015,45.4500,45.4300,46.2500,45.0300,631008,28937865.2300,1.883606
2010-02-23,sz.300015,45.0300,45.5000,45.7800,44.7500,620402,28001137.6200,1.851946
2010-02-24,sz.300015,46.1000,47.5900,47.7700,46.1000,1328743,62496567.2100,3.966397
2010-02-25,sz.300015,48.1200,47.8400,49.0000,47.6000,1488689,71781098.0900,4.443848
2010-02-26,sz.300015,47.6000,49.1000,49.8800,47.5100,1677641,82493438.1900,5.007884
2010-03-01,sz.300015,49.1000,50.9000,51.5000,49.1000,1948301,98289483.3000,5.815824
2010-03-02,sz.300015,50.9000,50.3000,51.7800,49.8700,1387809,70540296.2300,4.142713
2010-03-03,sz.300015,50.1200,49.2800,50.6200,48.8000,1356079,67318495.2900,4.047997
2010-03-04,sz.300015,49.2800,50.3900,51.8000,49.0300,2009270,102212946.8100,5.997821
2010-03-05,sz.300015,50.5300,53.5000,54.0000,50.4000,2330128,123293244.8600,6.955606
2010-03-08,sz.300015,53.6000,54.1400,54.5600,52.7100,1713200,91973895.0400,5.114030
2010-03-09,sz.300015,54.3000,53.6800,54.3000,52.8200,1167193,62463551.4000,3.484158
2010-03-10,sz.300015,53.8300,56.2900,56.6000,53.5300,2358595,130626211.3600,7.040582
2010-03-11,sz.300015,56.2500,56.3000,56.7500,54.7000,1852220,103387105.9600,5.529015
2010-03-12,sz.300015,56.3000,56.3000,56.3000,56.3000,0,0.0000,
2010-03-15,sz.300015,57.8000,56.8300,58.3000,56.0300,3250682,186282022.4100,9.703528
2010-03-16,sz.300015,56.9500,55.2100,57.0000,55.0300,1621286,90455472.0600,4.839660
2010-03-17,sz.300015,55.4800,58.9800,59.7000,55.4000,2801812,163030898.6100,8.363618
2010-03-18,sz.300015,59.0000,59.6700,61.6600,58.7100,2642148,159006833.4200,7.887009
2010-03-19,sz.300015,59.5600,59.9900,60.8900,59.0000,1211922,72692991.2200,3.617678
2010-03-22,sz.300015,60.0300,60.4000,60.5700,59.3200,1235021,74178698.3900,3.686630
2010-03-23,sz.300015,60.3800,63.8500,64.4800,59.8100,2393232,148244050.1400,7.143976
