date,code,open,close,high,low,volume,amount,turn
2017-10-30,sh.603260,28.1100,28.1100,28.1100,28.1100,21400,601554.0000,0.030571
2017-10-31,sh.603260,30.9200,30.9200,30.9200,30.9200,14370,444320.0000,0.020529
2017-11-01,sh.603260,34.0100,34.0100,34.0100,34.0100,9400,319694.0000,0.013429
2017-11-02,sh.603260,37.4100,37.4100,37.4100,37.4100,23374,874421.0000,0.033391
2017-11-03,sh.603260,41.1500,41.1500,41.1500,41.1500,121400,4995610.0000,0.173429
2017-11-06,sh.603260,45.2700,45.2700,45.2700,45.2700,186936,8462593.0000,0.267051
2017-11-07,sh.603260,49.8000,49.8000,49.8000,49.8000,234829,11694484.0000,0.335470
2017-11-08,sh.603260,54.7800,54.7800,54.7800,54.7800,188090,10303570.0000,0.268700
2017-11-09,sh.603260,60.2600,60.2600,60.2600,60.2600,479146,28873338.0000,0.684494
2017-11-10,sh.603260,66.2900,66.2900,66.2900,66.2900,507950,33672006.0000,0.725643
2017-11-13,sh.603260,72.9200,72.9200,72.9200,72.9200,907604,66182484.0000,1.296577
2017-11-14,sh.603260,80.2100,80.2100,80.2100,80.2100,2905730,233068603.0000,4.151043
2017-11-15,sh.603260,80.3800,79.6400,83.9800,76.9000,46997802,3780211086.0000,67.139717
2017-11-16,sh.603260,77.0000,77.1800,82.5500,76.1000,26411946,2086593306.0000,37.731351
2017-11-17,sh.603260,80.1000,77.6800,82.5200,76.3300,28778783,2306303778.0000,41.112547
2017-11-20,sh.603260,72.0100,69.9100,72.9000,69.9100,23769933,1671748303.0000,33.957047
2017-11-21,sh.603260,69.9000,64.6900,71.0100,62.9200,24873737,1646286603.0000,35.533910
2017-11-22,sh.603260,63.3900,62.3400,64.9400,60.5200,17656049,1110026721.0000,25.222927
2017-11-23,sh.603260,62.6600,61.3400,64.3400,60.7300,15943236,1006023008.0000,22.776051
2017-11-24,sh.603260,60.0000,57.1600,60.5000,56.3800,15229550,895832113.0000,21.756500
2017-11-27,sh.603260,56.8700,57.3500,58.9900,55.5300,11911471,685005943.0000,17.016387
