date,code,open,close,high,low,volume,amount,turn
2010-01-04,sz.002304,115.1500,113.5000,115.1500,112.8800,767142,87288168.5000,2.130991
2010-01-05,sz.002304,113.0200,114.2700,114.8800,112.9800,841845,95951195.8400,2.338504
2010-01-06,sz.002304,113.8800,110.3200,114.4900,110.1100,1069160,120204786.4600,2.969947
2010-01-07,sz.002304,110.3200,106.6000,110.3200,106.1000,1655905,177771410.4200,4.599826
2010-01-08,sz.002304,106.3100,107.2100,107.4100,106.0400,830553,88602780.7200,2.307137
2010-01-11,sz.002304,107.2000,109.3200,109.4500,106.3000,1020847,110613483.0600,2.835741
2010-01-12,sz.002304,109.3000,113.9900,115.1000,108.5200,1720599,193732131.7600,4.779535
2010-01-13,sz.002304,111.9800,113.6500,114.9800,111.5800,1489216,168539659.2800,4.136792
2010-01-14,sz.002304,113.6000,115.4000,116.9500,112.6000,1720973,197890190.2800,4.780574
2010-01-15,sz.002304,116.4000,113.8100,116.4000,113.2000,1100237,125926535.1700,3.056273
2010-01-18,sz.002304,113.8300,113.2000,114.5000,112.6100,864417,98128745.3800,2.401205
2010-01-19,sz.002304,113.9500,112.8600,113.9500,112.2000,804262,90749213.9200,2.234105
2010-01-20,sz.002304,112.8600,107.3000,113.1700,106.2800,1870929,203776152.8300,5.197126
2010-01-21,sz.002304,107.3000,108.5000,109.0000,106.7500,624834,67409858.9900,1.735684
2010-01-22,sz.002304,107.0100,105.7200,107.3900,104.5100,1021405,108177770.4400,2.837291
2010-01-25,sz.002304,104.7600,108.0000,108.0800,104.7600,838305,89845675.4500,2.328670
2010-01-26,sz.002304,107.9800,107.5500,110.5800,107.2600,1224259,133145230.7900,3.400786
2010-01-27,sz.002304,108.0000,107.1200,109.2800,107.0000,756658,81827974.1100,2.101869
2010-01-28,sz.002304,107.8000,108.3500,108.3900,105.0100,757734,80915104.5000,2.104858
2010-01-29,sz.002304,107.3400,108.0300,109.2400,107.1500,505557,54830388.4200,1.404352
2010-02-01,sz.002304,107.4800,108.3100,109.5000,106.4000,629843,68153002.7000,1.749598
2010-02-02,sz.002304,109.0000,107.9800,110.0500,107.6600,586366,64001589.0500,1.628826
2010-02-03,sz.002304,107.8100,104.9000,107.9000,102.4000,1440817,150766184.0900,4.002347
2010-02-04,sz.002304,104.4500,104.3100,105.3300,103.6600,488141,50981858.1000,1.355974
2010-02-05,sz.002304,103.0000,103.0000,103.9000,102.0000,980031,100809498.0200,2.722361
2010-02-08,sz.002304,101.9900,101.9600,102.9900,100.2000,4066996,413699106.3700,9.037909
2010-02-09,sz.002304,103.0000,106.2000,106.7700,103.0000,2453061,258305798.6600,5.451331
2010-02-10,sz.002304,106.3000,106.8000,106.8700,104.7800,915267,96941832.7900,2.033958
2010-02-11,sz.002304,105.7000,106.8500,107.0200,105.7000,913201,97308849.0000,2.029367
2010-02-12,sz.002304,106.9000,109.6000,109.6800,106.3000,1242756,134605816.6000,2.761723
2010-02-22,sz.002304,108.8000,106.6500,108.8200,105.8000,1021005,109069096.9100,2.268935
2010-02-23,sz.002304,106.3900,106.0000,106.9400,104.7100,887307,93487817.3500,1.971824
2010-02-24,sz.002304,106.0000,109.8600,109.9900,105.2300,1473497,159262732.0800,3.274489
2010-02-25,sz.002304,109.7900,110.9000,112.6000,109.3000,1122853,125045899.1400,2.495268
2010-02-26,sz.002304,110.8800,112.2800,113.0000,110.0800,1069370,119660253.2600,2.376415
2010-03-01,sz.002304,112.2800,112.9000,114.9900,112.1000,1784543,202482610.0500,3.965713
2010-03-02,sz.002304,112.7500,110.9000,112.8000,109.7800,1633395,180849945.5400,3.629823
2010-03-03,sz.002304,110.8800,114.3500,117.3300,110.8500,3168888,363610217.3800,7.042083
2010-03-04,sz.002304,114.3500,113.2000,115.0000,111.5000,2635481,298268110.7700,5.856716
2010-03-05,sz.002304,106.0000,108.9200,111.1000,104.5000,4880771,526177096.8100,10.846326
2010-03-08,sz.002304,107.5900,106.6400,109.9800,106.0000,2166696,232886884.3800,4.814955
2010-03-09,sz.002304,106.6400,105.9500,107.5000,105.7800,1534763,163396372.4400,3.410637
2010-03-10,sz.002304,106.2800,108.8300,109.1100,105.0000,2562479,274908512.2200,5.694486
2010-03-11,sz.002304,108.2000,109.5000,110.8800,107.5500,1374001,149740508.4900,3.053383
