date,code,open,close,high,low,volume,amount,turn
2010-01-04,sh.600115,6.1900,6.0900,6.1900,6.0800,7638975,46832412.0000,1.929034
2010-01-05,sh.600115,6.0900,6.1100,6.1300,6.0100,6456808,39252150.0000,1.630507
2010-01-06,sh.600115,6.1100,6.1600,6.2300,6.0800,12527866,77391435.0000,3.163603
2010-01-07,sh.600115,6.1600,6.2100,6.3400,6.1100,15031799,93541204.0000,3.795909
2010-01-08,sh.600115,6.3000,6.1000,6.3000,5.9000,21136398,128682590.0000,5.337474
2010-01-11,sh.600115,6.1200,6.2000,6.2100,5.8100,17083627,104706874.0000,4.314047
2010-01-12,sh.600115,6.2000,6.2000,6.2000,6.2000,0,0.0000,
2010-01-13,sh.600115,6.2000,6.2000,6.2000,6.2000,0,0.0000,
2010-01-14,sh.600115,6.2000,6.2000,6.2000,6.2000,0,0.0000,
2010-01-15,sh.600115,6.4600,6.3300,6.4600,6.2700,23827873,152115809.0000,6.017140
2010-01-18,sh.600115,6.3800,6.6500,6.6500,6.3200,27150029,179233542.0000,6.856068
2010-01-19,sh.600115,6.7000,6.9800,6.9800,6.7000,19901967,138027480.0000,5.025749
2010-01-20,sh.600115,7.2500,6.8200,7.2500,6.7600,42000698,294036763.0000,10.606237
2010-01-21,sh.600115,6.9000,6.9100,7.0000,6.8200,16320702,112769896.0000,4.121389
2010-01-22,sh.600115,6.9000,6.7700,6.9900,6.6000,18237974,124339143.0000,4.605549
2010-01-25,sh.600115,6.6900,6.4900,6.8500,6.4900,10782438,71825425.0000,2.722838
2010-01-26,sh.600115,6.4900,6.2800,6.5600,6.2200,11425159,72617605.0000,2.885141
2010-01-27,sh.600115,6.2800,6.3500,6.3800,6.2000,8346266,52501390.0000,2.107643
2010-01-28,sh.600115,6.3300,6.5200,6.5800,6.2700,10837475,70074243.0000,2.736736
2010-01-29,sh.600115,6.3200,6.4600,6.5300,6.3200,14155230,90989007.0000,3.574553
2010-02-01,sh.600115,6.4100,6.3100,6.4200,6.2500,9552772,60496172.0000,2.412316
2010-02-02,sh.600115,5.9900,5.9900,6.0900,5.9900,69499378,416668681.0000,3.856898
2010-02-03,sh.600115,5.7300,5.8500,5.9000,5.6900,73389651,421890814.0000,4.072791
2010-02-04,sh.600115,5.7300,5.8400,5.9500,5.6900,34740378,203286268.0000,1.927932
2010-02-05,sh.600115,5.7500,5.8300,5.9600,5.7100,28587021,166887382.0000,1.586449
2010-02-08,sh.600115,5.8300,6.0300,6.0400,5.7600,45605063,271603345.0000,2.530873
2010-02-09,sh.600115,6.0800,6.0400,6.1600,5.9700,23977287,145434716.0000,1.330630
