s,h,.,6,0,0,0,2,3
s,h,.,6,0,0,0,2,5
s,h,.,6,0,0,9,0,9
s,h,.,6,0,0,9,1,9
s,h,.,6,0,0,9,2,6
s,h,.,6,0,0,9,5,8
s,h,.,6,0,0,9,7,7
s,h,.,6,0,0,9,9,8
s,h,.,6,0,1,0,1,2
s,h,.,6,0,1,0,1,8
s,h,.,6,0,1,0,2,1
s,h,.,6,0,1,0,6,6
s,h,.,6,0,1,1,0,8
s,h,.,6,0,1,1,1,7
s,h,.,6,0,1,1,3,8
s,h,.,6,0,1,1,5,5
s,h,.,6,0,1,1,9,8
s,h,.,6,0,1,2,1,1
s,h,.,6,0,1,2,1,2
s,h,.,6,0,1,2,1,6
s,h,.,6,0,1,2,2,5
s,h,.,6,0,1,2,2,8
s,h,.,6,0,1,2,2,9
s,h,.,6,0,1,2,3,8
s,h,.,6,0,1,2,8,8
s,h,.,6,0,1,3,3,6
s,h,.,6,0,1,3,6,0
s,h,.,6,0,1,3,7,7
s,h,.,6,0,1,5,5,5
s,h,.,6,0,1,6,1,1
s,h,.,6,0,1,6,3,3
s,h,.,6,0,1,6,6,9
s,h,.,6,0,1,6,8,8
s,h,.,6,0,1,8,0,0
s,h,.,6,0,1,8,1,8
s,h,.,6,0,1,8,2,8
s,h,.,6,0,1,8,3,8
s,h,.,6,0,1,8,7,7
s,h,.,6,0,1,8,7,8
s,h,.,6,0,1,8,8,1
s,h,.,6,0,1,9,0,1
s,h,.,6,0,1,9,3,3
s,h,.,6,0,1,9,8,5
s,h,.,6,0,1,9,9,2
s,h,.,6,0,1,9,9,7
s,h,.,6,0,3,1,5,6
s,h,.,6,0,3,1,6,0
s,h,.,6,0,3,2,5,9
s,h,.,6,0,3,2,6,0
s,h,.,6,0,3,2,8,8
s,h,.,6,0,3,7,9,9
s,h,.,6,0,3,8,3,3
s,h,.,6,0,3,8,5,8
s,h,.,6,0,3,9,8,6
s,h,.,6,0,3,9,9,3
s,z,.,0,0,0,1,6,6
s,z,.,0,0,0,3,3,3
s,z,.,0,0,1,9,6,5
s,z,.,0,0,1,9,7,9
s,z,.,0,0,2,3,5,2
s,z,.,0,0,2,4,1,1
s,z,.,0,0,2,4,1,5
s,z,.,0,0,2,4,2,2
s,z,.,0,0,2,4,5,0
s,z,.,0,0,2,4,5,6
s,z,.,0,0,2,4,6,0
s,z,.,0,0,2,4,6,6
s,z,.,0,0,2,4,6,8
s,z,.,0,0,2,4,7,5
s,z,.,0,0,2,4,9,3
s,z,.,0,0,2,5,0,8
s,z,.,0,0,2,5,5,5
s,z,.,0,0,2,5,5,8
s,z,.,0,0,2,5,7,2
s,z,.,0,0,2,5,9,4
s,z,.,0,0,2,6,0,1
s,z,.,0,0,2,6,0,2
s,z,.,0,0,2,6,2,4
s,z,.,0,0,2,6,2,5
s,z,.,0,0,2,6,7,3
s,z,.,0,0,2,7,1,4
s,z,.,0,0,2,7,3,6
s,z,.,0,0,2,7,7,3
s,z,.,0,0,2,7,9,7
s,z,.,0,0,2,9,2,5
s,z,.,3,0,0,0,5,9
s,z,.,3,0,0,0,7,0
s,z,.,3,0,0,0,7,2
s,z,.,3,0,0,1,2,2
s,z,.,3,0,0,1,2,4
s,z,.,3,0,0,1,3,6
s,z,.,3,0,0,1,4,2
s,z,.,3,0,0,1,4,4
s,z,.,3,0,0,2,5,1
s,z,.,3,0,0,2,9,6
s,z,.,3,0,0,4,0,8
s,z,.,3,0,0,4,3,3
