930,0,中国平抗风险品种业绩好走势稳健！,智者通鉴,05-17 14:09
1319,2,等补跌吧  下周一7个点下跌,谁说不战自胜,05-17 14:07
715,0,平安股价尚处高位，此时不卖更待何时？,瑞士网友,05-17 14:03
286,0,买买买,木子与雨文,05-17 14:01
340,0,平安是个变压器，注意容易受机构影响控制。,知行合一185,05-17 14:00
340,0,为什么要有港股这个残次品，把中国公司估值搞这么低，,lgzzzgs,05-17 13:56
318,0,做空平安，赚大钱,蹦蹦跳乐园6788,05-17 13:55
306,0,快点发力啦,锂氡磷,05-17 13:54
548,1,国家队又坑人了。,不用理我,05-17 13:54
382,1,周末还想不想发新股了？ 还不拉@！,木子三阳888,05-17 13:51
357,0,砸茅台，砸平安,股友co3X5s,05-17 13:50
336,0,快点跌下来让我进场吧，这次不能再错过了。,价值才会赢,05-17 13:50
308,0,不离不弃 逢低加仓 为国护盘 坚持就是胜利,股友In3y8r,05-17 13:49
390,0,地球第一股，是不可能被做空...,笃定接盘侠现金王,05-17 13:44
378,0,79块回购成本价可以买一点,便宜就买贵了就卖,05-17 13:39
635,2,人民币贬值，股市外资加速撤离？,杰大大,05-17 13:37
287,0,转发,一生有你43,05-17 13:36
351,0,我CNM中国平安！！,股友f5b5fo,05-17 13:34
274,0,跌这么多呀,w连连,05-17 13:32
399,0,平安为什么拼命砸盘？,静1113,05-17 13:27
312,0,茅台和平安已经成了绑架大盘，控制大盘的工具,大明绣春刀,05-17 13:26
316,0,大盘风向标，当之无愧！以前宋江是中国石油，现在这称,神州第一刀,05-17 13:24
299,0,今日剧本：平安平安，平平安安,做好人买好股得好报方能实现幸福人生,05-17 13:21
317,0,是不是又在偷偷的回购？,股友hgznsM,05-17 13:20
293,0,看来筹码是不多了,股友hgznsM,05-17 13:13
331,0,真怪低没有人买过了均线上才买？？？,w连连,05-17 13:13
304,0,中国平安？,拉拉扯扯MSK,05-17 13:12
273,0,平安，茅台，绑架指数，打脸不？,股友wv0tVB,05-17 13:11
230,0,今天回购了吗,股友hgznsM,05-17 13:07
351,0,100亿的回购有动作了,韭菜生长30年,05-17 13:06
274,0,厉害了，走势与上证指数完全一样。,宣城2mpcdy,05-17 13:03
491,3,这票什么价位适合补仓,一米阳光sunshine,05-17 13:02
286,0,汉奸，千夫所指……,倔强的牛幸福,05-17 12:59
346,0,已挂单79 ,垃圾海康,05-17 12:54
1346,2,感谢开启我心智的人，让我接触了价值投资。让我知道了,用脚投票1,05-17 12:44
284,0,昨天跑了，这个垃圾，慢慢凉快去吧,股友hM9hbq,05-17 12:35
334,0,下午大盘跳水大跌，至少要暴跌70-10点,股友qjsdssoes,05-17 12:35
583,1,短期均线全破  还有喊涨的吗？你若看好 真的过时了 你,谁说不战自胜,05-17 12:32
326,1,一买就跌[兴奋],邓邓0602,05-17 12:25
274,0,不要慌淡定,赏金三江,05-17 12:23
568,4,不跌到70不考虑买进！！！！,Jason999888,05-17 11:51
390,0,我打算去趟深圳,yudejinghun,05-17 11:43
302,0,需要你们这些权重护盘的时候，这些机构拉命在杀跌。真,淡定简单,05-17 11:33
386,0,下午雄起，81.18,流量为王,05-17 11:33
447,0,这垃圾原来要分红22所以拉大盘,一个新手小散户,05-17 11:26
3390,8,有哪些股票是值得你持有十年的？,君临汇,05-17 11:26
283,0,中国平安就是不平安,风雨同洲4,05-17 11:25
267,1,几天前买了几手五洲交通涨了,好票多关注,05-17 11:24
298,0,肯定跌停下午！！！,Vic15849,05-17 11:22
318,0,打脸呀,股友wv0tVB,05-17 11:21
283,0,看你今天怎么操作，[弱],确定性投资李,05-17 11:18
356,0,棺材板割韭菜哈哈哈哈哈 赶紧再加三成仓[胜利],ChrisssJ,05-17 11:17
305,0,何时才休,w连连,05-17 11:03
368,1,空单又把期货股指打下来了，大家快买农业种业吧,风生水起Y2093,05-17 11:03
260,0,真带大盘跌,w连连,05-17 11:02
299,0,股指期货做空,价值77,05-17 11:01
489,0,2019年度长期服务计划完成股票购买,股友tCjKKG,05-17 11:01
250,0,跌多一点，好抄底,水鱼的鱼,05-17 11:00
299,0,雄起啊！中华民族又到了生存发展的关键时刻，你等继续,倔强的牛幸福,05-17 11:00
307,0,抓住一只砸盘g,哥特贤者,05-17 10:58
357,0,人民币持续贬值吓得外资急撤,A207T,05-17 10:53
581,1,成也平安，败也平安,一买就久套,05-17 10:53
375,1,只有涨才有人买跌不会买,w连连,05-17 10:50
362,0,中国平安不亏是中国股市的一颗毒瘤！,金炎998,05-17 10:50
291,0,砸盘急先锋,风控计划心平静,05-17 10:47
371,0,多事之秋，好公司也难。超级大国针对一家中企。为国护,股友2cMgbk,05-17 10:45
262,0,大盘跌都是这砸,w连连,05-17 10:43
2032,0,中国平安走势企稳，博反弹留意其认购证11980,香港智远,05-17 10:43
245,0,没人买庄自打了,w连连,05-17 10:43
378,1,带领大盘跳水，外资干的,搬运工8号,05-17 10:40
277,0,早买的骂了吧,w连连,05-17 10:39
251,0,空头多头都是你,在线操作中,05-17 10:38
298,0,完蛋，比预期跌的还强烈，快跑,女人坑你你能怎办,05-17 10:38
262,0,平安砸盘了等73元买,w连连,05-17 10:38
321,0,保护本金，任何时候都要放第一位！清仓撤退！,道一生三生万物,05-17 10:37
284,0,又是中国平安带头打压指数，能否一起要求其退市？,官商一条裤,05-17 10:37
763,1,上市公司中最大的骗子，全部让老外买走吧,股透亮,05-17 10:37
327,1,尼玛的，是不是有病,大哥的股神,05-17 10:33
440,0,平安是怎么了？港股都涨成那样了，A股为什么这么便宜,口水股市行情,05-17 10:32
290,0,好意思叫中国平安吗,脑交战,05-17 10:32
332,0,别急，才跌那么点，下周才开始暴跌,小布老师雯雯,05-17 10:31
388,1,今天指数全看平安的脸色了，平安看港资的脸色，港资看,女人坑你你能怎办,05-17 10:31
421,0,今天不砸盘，庄家下周拿什么来拉？和做爱一样爽一下就,SIEMEV,05-17 10:29
297,0,保险金融龙龙，赢利能力强，国资大举入市股指将站上四,港澳发展,05-17 10:29
332,0,港资进投资的资金多数都是以投机为主，人民币贬值加上,女人坑你你能怎办,05-17 10:17
275,0,一汽富维混改呢,牛市启动捂股,05-17 10:17
374,1,反弹出局 不准备参与分红了 没意思,心志坚定,05-17 10:17
318,1,中国平安老佰姓吐口水都会淹死,好心情好运自然来,05-17 10:16
267,0,跌停的节奏啊,Vic15849,05-17 10:15
337,0,平安已经成为炒作股指期货操纵的工具,迷糊ing,05-17 10:13
280,1,平安让股市不平安，你的良心不会痛吗,不如闲庭信步,05-17 10:11
338,1,太平鸟603877，10股送10元，股价17元！！！,公鸡战斗鸡,05-17 10:09
261,0,完蛋,吾也真禅天尊,05-17 10:07
261,0,"砸吧,反正A股已经没救了",股友jcOAmI,05-17 10:05
194,0,护它砸也是它,w连连,05-17 10:05
301,0,一到粉红平安必跌 哎 没救了,Ecully,05-17 10:05
299,0,这是怎么了！公告什么都增长为舍服价不涨什么鬼！,股友2cMgbk,05-17 10:04
263,0,早卖对了又要砸了,w连连,05-17 10:04
253,0,回购吧,确定性投资李,05-17 10:03
275,0,越好越不涨，越垃圾越出事越涨，癌股就这样，散了吧，,女人坑你你能怎办,05-17 10:03
270,0,卖卖,好心情好运自然来,05-17 10:02
358,0,看看人家茅台，不得不承认，外资就是厉害！有公德心，,敬往思来,05-17 10:00
339,0,72.87买100,好心情好运自然来,05-17 09:59
233,0,你要做汉奸吗？,不如闲庭信步,05-17 09:58
276,0,只要分红买入不超过一年的，跑跑就对了,女人坑你你能怎办,05-17 09:55
274,0,这个疯了疯了，待会赶快跑,刘思妍,05-17 09:52
234,0,开仓鼠,好心情好运自然来,05-17 09:52
1178,3,这几天的央视股评专家推荐了中国平安这支保险股，所以,艳阳九连板,05-17 09:50
1011,5,"拉升，追高的,今晚又是关灯吃面，盐都只能少放点",投机总是要还的,05-17 09:50
379,1,79.51,做每节课如风,05-17 09:48
278,0,带头砸盘,炒股就是找罪受,05-17 09:43
272,0,擅长跳水！鉴定完毕,敬往思来,05-17 09:41
269,0,分红就是套短线投机客的，谨防近期股价大跌,女人坑你你能怎办,05-17 09:38
277,0,开始暴跌，-4%,小布老师雯雯,05-17 09:37
284,0,追高了,挥挥一手捡破烂,05-17 09:35
405,1,港股比A股涨的多是因为A股回购压制股价,435066371,05-17 09:32
545,2,分红难道就是这走势,心志坚定,05-17 09:31
273,0,平安对得起中国吗,Ecully,05-17 09:30
458,0,中国平安：融资净买入1.46亿元，两市排名第三（05-16,财经评论,05-17 09:30
282,0,今天是出点还是不动？,空透999999,05-17 09:20
284,0,又是回购又是福布斯第七名的，换个题材股涨上天啦！,魔域帝国,05-17 09:18
274,0,都看好  还能涨 吗  不创新高 就是利空,谁说不战自胜,05-17 09:08
501,2,今天能涨到一百吗,股友Vohlud,05-17 09:04
786,2,今年平安加入百元俱乐部，谁有意见站出来,股友qwe45,05-17 08:50
472,1,平安加入百元俱乐部，谁有意见？,股友qwe45,05-17 08:45
389,0,茅台站上千元，五粮液站上百元，平安站上百元,股友qwe45,05-17 08:43
290,0,2浪调整结束，开始牛市第3浪平安站上百元,股友qwe45,05-17 08:40
385,1,调整结束，开始牛市第3浪平安过百,股友qwe45,05-17 08:32
7093,5,中国平安的Roe什么时候能大于20% ?我想最迟在2021年，,塞北烟雨楼,05-17 08:09
526,0,对于#中国平安 sh601318[股票]# ，#贵州茅台 sh600519,塞北烟雨楼,05-17 08:03
799,0,中国平安05月16日获沪股通资金净卖出2.708亿元，持股,聚焦沪深港,05-17 08:03
3923,1,中国平安(601318)融资融券信息(05-16),中国平安资讯,05-17 07:42
654,0,下个星期三股权登记，这几个交易日有可能会套人，只有,女人坑你你能怎办,05-17 07:26
327,0,华西能源，满仓干！,黑黑的那种哦,05-17 07:15
765,1,在中国平安上做差价，无异于左手拿着番茄，右手却比划,塞北烟雨楼,05-17 06:50
399,0,中国要象引入足球明星一样舍得花钱大科学家和研究人员,跑赢定期存款,05-17 06:50
1225,2,三重大顶历史三年已经构建成功，这波反弹80以上基本到,抄底603888不要怂,05-17 05:54
821,2,这么多利好，再加大盘涨势，平安却只涨了0.53个点，什,股友WaYyge,05-17 05:14
1088,1,感觉要大涨呀,科创股雷神,05-17 03:09
2088,1,5月17日星期五必看早盘内参（沪港通持续流出，指数持,冯晓宁,05-16 23:46
508,0,这个股后边上4元！沪指3300点唯有地产！,磐石20539,05-16 23:38
23321,35,"这两天做了个差价，头天78,5元卖了4000,第二天80.5元",东海舰队牛,05-16 23:18
397,0,等到合适的价位我就买了,玫琳凯之星,05-16 23:10
1064,6,今天买的能分红吗,脱贫致富2,05-16 23:07
2655,6,这样的分红有意义吗？,射日幽灵,05-16 22:42
1225,2,持有工商银行百分之十二的股份，仅分红可获得一百亿收,相聚是缘10,05-16 22:26
4722,6,福布斯全球最牛2000家企业：平安挺入前八强,财经评论,05-16 21:59
2345,4,昨天回购，今天出分红，良心企业啊,便宜就买贵了就卖,05-16 21:32
884,0,有谁会蠢到万亿美元的生意不要，大豆飞机石油液化气，,股友wATpYD9028,05-16 20:58
812,1,弱弱的问一句，保险逾期赔付，或者不予赔付算踩雷吗？,玄学炒股投资者,05-16 20:47
1737,3,刚刚！高善文用一套缜密逻辑证明：中国消费减速不是房,聪明投资者,05-16 20:42
2642,0,走出散兵坑期待向上跳空,质子研投,05-16 20:30
832,0,最后的绝招使出来了,韭菜老荏,05-16 19:55
7159,4,美女演员转行券商销售！国金证券回应：她匹配这份工作,聪明投资者,05-16 19:29
619,0,#除了伟大的宙王茅台 坚决远离所有的大盘烂毒股!,秀你美,05-16 19:11
485,1,#你这毒股必将跌到广东和深市股王新城市的零头!,秀你美,05-16 19:10
444,0,#老王茅台到19年前到你这毒股家有你这毒股多吗？,秀你美,05-16 19:09
2217,3,我有3千股那不是分红3千3百块吗？,hf19739388,05-16 19:02
1462,3,支持中国平安，祝福中国平安 分红后继续买入做中国平,苏州股手,05-16 18:57
2734,5,工商银行(01398.HK)获平安资管近6亿港元增持H股 持H股,工商银行资讯,05-16 18:55
952,0,中国平安：年报推10派11元 股权登记5月22日,股友2vQTJs,05-16 18:48
746,0,当利好积累到一定的程度爆发期就到了,特号潜伏者,05-16 18:35
537,0,中国平安哪天能来个涨停？那肯定是个锣鼓喧天 鞭炮齐,股友GULQHA,05-16 18:31
14025,9,中国平安每股发放现金红利人民币1.10元（含税） 每股,魔域帝国,05-16 18:20
3223,0,【图解分红送配】中国平安2018年度10派11元,财经评论,05-16 18:18
855,0,步长25元，10股送3股还分16元。我发现，上市的好公司,吹雪1,05-16 18:10
730,2,时空,青梅煮酒17,05-16 18:08
467,0,高点融券做空，再赚一点化妆品钱。明天继续融券做空。,蹦蹦跳乐园6788,05-16 18:05
617,0, 吹雪1 影响力注册时长4.1年 今天 17:53 东方财富Andr,吹雪1,05-16 18:03
622,0,真大方，不到去年年利润的1/6，一个比一个搞笑。,三三见久,05-16 17:44
14957,27,中国平安(601318.SH)拟10派11元 股权登记日为5月22日,中国平安资讯,05-16 17:40
447,0,减仓了......,老李打实盘,05-16 17:32
4658,7,平安资管近日买入工商银行H股1.09亿股,财经评论,05-16 17:32
7537,9,中国平安跻身《福布斯》全球2000强第7位,中国平安资讯,05-16 17:16
1803,10,官宣！全球第7，平安刷新《福布斯》全球2000强排名,股友qwe45,05-16 17:14
49923,23,601318:中国平安2018年年度分红派息实施公告,中国平安资讯,05-16 17:10
423,0,T了一下,股市屁民cupl,05-16 17:09
1037,0,中国平安05月16日资金揭秘,资金解密,05-16 16:13
744,0,好公司从来不在乎自家的股价下跌。股价下跌多些就出来,特号潜伏者,05-16 16:09
584,1,要买就买龙头,绍兴北,05-16 16:05
4188,2,5月16日收评：三大股指全线收红 稀土板块上演涨停潮,长城基金,05-16 15:46
3219,1,中国平安成交51亿元两市居首，一文细看今日A股风云(5-,财经评论,05-16 15:33
1036,1,终于都见红了，期待年底的表现,佳欣饼干,05-16 15:15
1385,6,81.20卖变买，尼玛欲哭无泪[哭][哭][哭][哭],炒股就是找罪受,05-16 15:10
671,0,今天买了点，看看怎么样吧。估计一时半会轮不到他涨。,撒兴泼,05-16 15:08
525,0,明天,V8最强兵人,05-16 15:07
480,0,定海神针一样,股友oftenhere,05-16 14:57
530,0,明天低开  是否低走  观察,谁说不战自胜,05-16 14:55
571,0,这么多利好涨了0.3，额，明天悬了,女人坑你你能怎办,05-16 14:54
433,0,收盘80.88,相聚是缘10,05-16 14:53
442,0,借利好跑了3个亿,谁说不战自胜,05-16 14:53
387,0,跌吧  都认为涨  就必须跌了,谁说不战自胜,05-16 14:52
409,0,可进了,好心情好运自然来,05-16 14:50
402,0,外资在砸盘,射日幽灵,05-16 14:47
633,0,中国平安最近的剧本是让中国平平安安，当牛市信号来临,做好人买好股得好报方能实现幸福人生,05-16 14:43
423,0,平安这种大盘，不就应该这种涨势吗？,zjlkyv17,05-16 14:41
