[1.5071242]
[1.2665064]
[0.9887811]
[1.6106508]
[1.1671749]
[1.4348654]
[1.6810027]
[1.7262042]
[1.3539526]
[0.35632938]
[1.1493862]
[1.3063333]
[1.1678901]
[1.5004811]
[1.4119365]
[1.0892289]
[1.2254184]
[1.2939]
[1.3970484]
[1.5003963]
[2.5023184]
[1.8241832]
[1.4944377]
[1.4466708]
[0.9880111]
[0.7551949]
[0.9708415]
[1.3451579]
[0.8205843]
[2.5576487]
[2.1689792]
[2.5377333]
[2.057764]
[1.8668344]
[1.6942999]
[1.7997396]
[1.90543]
[1.9257193]
[2.0379274]
[2.3482018]
[2.0071828]
[1.9459807]
[2.1151304]
[2.0935059]
[1.8695405]
[2.143866]
[2.5482666]
[1.9043087]
[1.7142684]
[1.7990066]
[1.9348618]
[1.6958971]
[1.7150283]
[1.8398539]
[1.9322317]
[1.8656094]
[2.9566858]
[2.9724717]
[3.250518]
[3.806822]
[4.2171383]
[4.247232]
[4.142529]
[3.6595197]
[3.8298492]
[4.0545745]
[4.361854]
[4.577273]
[4.772137]
[4.853712]
[4.657788]
[4.95808]
[5.4362364]
[4.2292304]
[4.761024]
[5.015159]
[4.986832]
[5.29217]
[4.9104495]
[4.7410264]
[4.2785397]
[2.7421923]
[3.5085032]
[3.465159]
[3.6019163]
[3.3876545]
[3.6780994]
[3.5340095]
[3.9334464]
[3.8792832]
[3.6145587]
[4.0618415]
[4.287231]
[4.6406503]
[4.6391263]
[4.5793858]
[4.497824]
[4.913238]
[4.663752]
[4.695124]
[4.149428]
[3.794343]
[4.1369233]
[3.6620035]
[4.2395515]
[4.558799]
[3.937315]
[3.9687932]
[3.0880575]
[3.3770347]
[1.8497438]
[3.5267572]
[3.9623399]
[4.3819203]
[4.541057]
[5.0338492]
[5.206121]
[5.5483575]
[5.4788527]
[5.729428]
[5.9609323]
[6.4395146]
[6.0354123]
[5.5934663]
[5.158746]
[5.015042]
[5.2874093]
[4.8295064]
[4.798434]
[4.9783764]
[5.236758]
[5.165583]
[5.0468407]
[4.3976293]
[3.7033567]
[3.3663416]
[4.1677804]
[4.1733418]
[4.5457788]
[4.4986815]
[4.3885155]
[4.440048]
[5.042936]
[5.321324]
[5.063223]
[4.8068433]
[5.0100923]
[4.6656675]
[4.591143]
[4.683554]
[4.769009]
[4.965389]
[5.2115726]
[4.805652]
[4.571752]
[4.164387]
[4.3934135]
[4.462402]
[4.467165]
[3.771129]
[4.060221]
[4.61291]
[4.8493237]
[4.7877746]
[4.767713]
[4.412293]
[4.6794934]
[5.0830727]
[4.936729]
[5.111073]
[5.3449216]
[5.6206517]
[5.300199]
[5.190477]
[5.2412233]
[4.9700007]
[4.466059]
[4.715117]
[4.019276]
[4.2000613]
[3.604237]
[3.7933109]
[3.5813928]
[4.0552926]
[4.3881035]
[4.452993]
[4.774711]
[4.457438]
[4.5182185]
[4.374728]
[4.3265815]
[4.8303566]
[4.1509185]
[2.7402666]
[3.3044162]
[3.2716784]
[3.2380438]
[3.060586]
[3.7641547]
[4.4030857]
[4.4101114]
[4.1717496]
[3.3605452]
[3.7481112]
[4.136787]
[4.231974]
[4.3203015]
[4.5042653]
[4.2258067]
[4.8549657]
[4.8197246]
[4.8500366]
[4.670751]
[4.7202034]
[4.9563284]
[5.3415484]
[5.2906823]
[5.556459]
[5.6529093]
[5.688762]
[5.6139193]
[5.5270886]
[5.6912694]
[4.8841243]
[5.2051387]
[5.5139623]
[5.7611156]
[5.9229445]
[6.121638]
[6.5827327]
[6.12332]
[5.85848]
[5.9999003]
[6.1700597]
[6.3070865]
[6.277805]
[6.6453505]
[7.215324]
[7.69539]
[7.55057]
[8.033358]
[7.850545]
[7.901959]
[7.8188734]
[8.502715]
[7.28308]
[7.011836]
[8.35039]
[7.2539907]
[7.953144]
[8.114607]
[8.749999]
[7.1160617]
[7.0682607]
[6.693558]
[6.2807536]
[6.4911046]
[6.8134985]
[6.8210664]
[6.679749]
[6.281401]
[6.4310365]
[6.4709363]
[6.6612153]
[6.087272]
[5.950696]
[6.0097146]
[5.8001266]
[5.36767]
[5.4088273]
[5.767246]
[5.601868]
[5.001387]
[4.6853385]
[4.804116]
[4.672073]
[2.1889408]
[2.6592743]
[3.252234]
[3.891193]
[3.5509872]
[2.3107858]
[3.6157258]
[3.2428179]
[3.6951637]
[4.1727333]
[4.723464]
[4.5041814]
[4.6890388]
[4.8446274]
[4.662476]
[4.1176095]
[4.340526]
[4.6715646]
[3.7310462]
[4.4672265]
[3.36661]
[4.704083]
[4.1583233]
[4.8975787]
[3.5106437]
[2.9276352]
[3.7051485]
[3.7217212]
[3.2649298]
[2.5340068]
[3.5655863]
[3.5666838]
[3.7158074]
[4.1278143]
[2.17933]
[2.049069]
[2.437646]
[2.680897]
[1.9426974]
[2.2629154]
[2.6716766]
[2.8582554]
[3.300088]
[3.2631137]
[3.4854321]
[3.5822299]
[4.212533]
[4.6180835]
[4.9922185]
[5.4302855]
[5.08467]
[5.35544]
[5.4680176]
[5.0891542]
