1.7573451e-16,2018-01-01
7.431040701103168e-18,2018-01-02
5.12414492847053e-16,2018-01-03
8.579676265130417e-16,2018-01-04
7.065936471902605e-17,2018-01-05
2.9428543937023003e-16,2018-01-06
5.274018e-22,2018-01-07
1.6688376049973162e-16,2018-01-08
3.666193412071756e-16,2018-01-09
8.716798474682344e-17,2018-01-10
3.256398494422387e-16,2018-01-11
5.872479353814934e-16,2018-01-12
9.812958923158948e-16,2018-01-13
2.2456365245112566e-18,2018-01-14
3.9952155702546215e-16,2018-01-15
2.712444466649324e-16,2018-01-16
5.605565984659686e-16,2018-01-17
2.350896506595258e-16,2018-01-18
3.0965867902106314e-16,2018-01-19
2.089167023212336e-15,2018-01-20
2.0134223135333332e-21,2018-01-21
2.462191213750289e-15,2018-01-22
8.756080894899837e-16,2018-01-23
3.8207540348808095e-17,2018-01-24
3.816826640208936e-16,2018-01-25
1.0521594237254392e-15,2018-01-26
1.8793853333606086e-15,2018-01-27
2.041104e-20,2018-01-28
1.1586689132948842e-15,2018-01-29
6.151919478420751e-16,2018-01-30
2.1765692027494385e-15,2018-01-31
1.48704010898063e-16,2018-02-01
1.3001347146659547e-15,2018-02-02
5.689163411694321e-16,2018-02-03
2.4996792438700003e-20,2018-02-04
7.749921359993839e-16,2018-02-05
4.031200192813323e-16,2018-02-06
6.999237557775991e-16,2018-02-07
3.6013240821631288e-16,2018-02-08
3.727516326124177e-16,2018-02-09
1.4256950128199967e-15,2018-02-10
6.78840649061886e-18,2018-02-11
2.342061939143126e-18,2018-02-12
8.442736851547633e-16,2018-02-13
3.0038637323179623e-16,2018-02-14
7.723979835e-16,2018-02-15
1.5148628e-23,2018-02-19
8.779854763533333e-20,2018-02-20
7.646033252584004e-18,2018-02-21
9.430216423467774e-16,2018-02-23
3.1595516217111663e-16,2018-02-24
1.2997209334666667e-20,2018-02-25
3.7665733183336625e-15,2018-02-26
7.646277946649853e-17,2018-02-27
1.206820071741995e-15,2018-02-28
1.9264380410021684e-16,2018-03-01
7.072245488150393e-16,2018-03-02
2.605042190112458e-16,2018-03-03
3.6229343351848675e-18,2018-03-04
1.268781511683189e-15,2018-03-05
1.4613111479957479e-15,2018-03-06
1.7173766544405652e-15,2018-03-07
2.591179010111967e-16,2018-03-08
2.4340197867079655e-16,2018-03-09
1.9562052240324995e-15,2018-03-10
3.5550993e-15,2018-03-11
3.035475415547243e-18,2018-03-12
1.5439592498815832e-15,2018-03-13
2.1962563411968764e-16,2018-03-14
1.7663938684543298e-16,2018-03-15
2.0754488865223708e-16,2018-03-16
6.62518117225e-15,2018-03-17
2.3245383699999997e-19,2018-03-18
9.121441796846524e-19,2018-03-19
4.900289447671686e-16,2018-03-20
1.3628380065363654e-15,2018-03-21
5.584599329048676e-16,2018-03-22
4.877473528648176e-16,2018-03-23
1.2968714677540387e-15,2018-03-24
1.4169847994999999e-24,2018-03-25
2.42370135455309e-16,2018-03-26
5.326442156016315e-16,2018-03-27
8.092106102385835e-16,2018-03-28
1.1868735195953514e-16,2018-03-29
4.8330892900025474e-17,2018-03-30
2.502061205800293e-16,2018-03-31
1.1081041492427729e-15,2018-04-01
1.5488652863247814e-16,2018-04-02
2.0060809694835328e-16,2018-04-03
5.660802027763307e-17,2018-04-04
1.1339412301870999e-15,2018-04-05
7.019346780270651e-19,2018-04-06
1.285718525e-20,2018-04-07
1.5029044870488386e-15,2018-04-08
7.014719314115659e-16,2018-04-09
9.583039433900513e-16,2018-04-10
2.7075445347414564e-16,2018-04-11
1.0239578610204197e-16,2018-04-12
5.710748134233409e-16,2018-04-13
2.831377377160363e-16,2018-04-14
5.67428502888163e-18,2018-04-15
4.863539851794531e-16,2018-04-16
7.513385760605884e-17,2018-04-17
7.355576800900933e-16,2018-04-18
5.329193453507141e-16,2018-04-19
4.783136821444247e-16,2018-04-20
2.507535071592541e-16,2018-04-21
9.29227670653064e-18,2018-04-22
4.913401029526228e-16,2018-04-23
2.0895718132237965e-16,2018-04-24
8.376192719789514e-16,2018-04-25
6.476746174387595e-16,2018-04-26
3.705600550211307e-16,2018-04-27
2.755206403667029e-16,2018-04-28
1.868278352265e-19,2018-04-29
2.282041744275e-20,2018-04-30
2.7972333039025e-18,2018-05-01
9.980172055516653e-16,2018-05-02
7.43768937821288e-16,2018-05-03
2.5564728698585006e-16,2018-05-04
1.7672094182587732e-15,2018-05-05
3.1639798185e-20,2018-05-06
2.4135559180796427e-17,2018-05-07
8.819802633989396e-16,2018-05-08
4.583327679533017e-17,2018-05-09
2.6016918401697454e-17,2018-05-10
3.195209071325503e-16,2018-05-11
2.6331294183001558e-15,2018-05-12
4.1937401617499995e-20,2018-05-13
9.074530349945395e-16,2018-05-14
1.056676726319377e-16,2018-05-15
1.5939717978002113e-15,2018-05-16
1.3522054810887488e-16,2018-05-17
3.3586185003442866e-16,2018-05-18
1.1860341207317055e-15,2018-05-19
5.876072189358976e-17,2018-05-20
6.672087286960426e-16,2018-05-21
1.907842642616776e-16,2018-05-22
6.742878167866054e-16,2018-05-23
1.068477338017393e-15,2018-05-24
1.3477112408141785e-15,2018-05-25
2.387901440004232e-15,2018-05-26
7.804857369930143e-18,2018-05-27
1.478914914921087e-17,2018-05-28
7.855310907090684e-16,2018-05-29
7.062258885288917e-16,2018-05-30
4.611011079546315e-16,2018-05-31
6.07485776344405e-16,2018-06-01
5.428800352783052e-15,2018-06-02
2.6014893359774747e-16,2018-06-03
1.5003173021410077e-15,2018-06-04
6.89806593805995e-16,2018-06-05
1.034090441890168e-15,2018-06-06
1.4097657092999861e-15,2018-06-07
1.1466125859781473e-15,2018-06-08
2.9716122301349343e-16,2018-06-09
6.004346919775618e-20,2018-06-10
3.7926838565957823e-16,2018-06-11
5.721849961684825e-16,2018-06-12
1.6107990040341284e-15,2018-06-13
5.218631596172197e-16,2018-06-14
4.1866281579750137e-16,2018-06-15
3.4229297042639997e-15,2018-06-16
5.588211126046e-18,2018-06-17
2.790096753456e-17,2018-06-18
6.716301288781198e-16,2018-06-19
2.9638078948241387e-16,2018-06-20
1.093904862615013e-15,2018-06-21
4.789228461807684e-16,2018-06-22
6.349853114034583e-16,2018-06-23
3.676399894700554e-18,2018-06-24
7.406151831449111e-16,2018-06-25
7.209044427016164e-16,2018-06-26
6.26400199517982e-16,2018-06-27
7.380466530802841e-16,2018-06-28
5.913422580760695e-17,2018-06-29
4.3181334122676583e-16,2018-06-30
3.919890171016666e-20,2018-07-01
6.533865246379209e-16,2018-07-02
3.0213662654521914e-16,2018-07-03
1.1252438694241907e-15,2018-07-04
1.254519738637985e-15,2018-07-05
6.910569630934828e-16,2018-07-06
1.7295355619232028e-19,2018-07-07
5.530464146834999e-20,2018-07-08
7.508836800212837e-16,2018-07-09
2.1203206147270825e-15,2018-07-10
4.515621851980055e-16,2018-07-11
3.668823515104285e-17,2018-07-12
5.573123499085838e-16,2018-07-13
7.443259112929176e-19,2018-07-14
3.4090636904333335e-20,2018-07-15
3.7247834875386147e-16,2018-07-16
1.4179810559436055e-15,2018-07-17
9.596672769543209e-18,2018-07-18
6.289775280998106e-16,2018-07-19
5.494619427262418e-16,2018-07-20
4.818825092642614e-17,2018-07-21
2.7892773536125e-20,2018-07-22
4.140358691866452e-18,2018-07-23
7.915799795957202e-16,2018-07-24
5.257826361458283e-18,2018-07-25
4.000883355175386e-18,2018-07-26
4.932609105889433e-16,2018-07-27
1.9396585584058e-18,2018-07-28
2.163604e-28,2018-07-29
3.0801541525153297e-15,2018-07-30
8.4546963642887875e-19,2018-07-31
4.550256863421395e-16,2018-08-01
9.24884168113767e-18,2018-08-02
1.3047011050917747e-18,2018-08-03
1.1432437811550575e-17,2018-08-04
1.7815107e-14,2018-08-05
9.827664835867806e-18,2018-08-06
5.940553384852132e-18,2018-08-07
4.074875322687672e-18,2018-08-08
5.9185123199692555e-18,2018-08-09
5.097541557311192e-18,2018-08-10
3.982658059880134e-15,2018-08-11
6.180657493619032e-17,2018-08-13
6.913881222047745e-19,2018-08-14
3.62696053531498e-16,2018-08-15
1.2697915865352847e-17,2018-08-16
2.271952911098278e-18,2018-08-17
3.2608072367500004e-17,2018-08-18
1.29861945e-19,2018-08-19
3.462606648820358e-18,2018-08-20
2.0582994008068225e-16,2018-08-21
1.6180247401118407e-15,2018-08-22
4.1172379209739736e-16,2018-08-23
9.15953040219686e-16,2018-08-24
1.1108427176788143e-15,2018-08-25
5.68638485340857e-18,2018-08-26
5.673469012290489e-16,2018-08-27
5.741972340389532e-16,2018-08-28
3.96593675253805e-16,2018-08-29
2.1845961310466567e-15,2018-08-30
7.384477236964232e-16,2018-08-31
1.835413548082479e-15,2018-09-01
3.1686003852625e-21,2018-09-02
5.93985156299361e-19,2018-09-03
1.3899303187973098e-15,2018-09-04
2.480977008541758e-15,2018-09-05
1.0606936551902302e-16,2018-09-06
2.1773855934782057e-15,2018-09-07
1.0377321031113154e-15,2018-09-08
3.531340892559667e-18,2018-09-09
